Country,Year,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov
Australia,2012.0,230366.7,1256700.0,28379.8436464381,18170.7322903665,326984.0,85519.0,85892.0,494348.0,923805.844,929099.0,45737.5828788895,162414.0,,
Australia,2013.0,217863.580499999,1277806.0,14986.0297680127,17391.8068390793,332227.0,88768.0,76041.0,483653.0,877481.635499997,944940.0,65637.1151986599,169005.0,,
Australia,2014.0,233373.9666,1304427.0,28299.8079826562,22554.4795838517,334429.0,97268.0,73808.0,472263.0,884028.7842,969304.0,61081.1542709701,153691.0,,
Australia,2015.0,237287.921000001,1341214.0,30318.9429198241,4019.43647149173,347802.0,106061.0,69367.0,453408.0,859544.324600003,992783.0,62796.3804710292,132864.0,,
Austria,1997.0,,174952.46486988,,,48526.107730538,,,58755.363470485,,126455.65918281,,,,
Austria,1998.0,,180086.08222306,,,49989.360108558,,,60770.622797412,,130129.54514982,,,,
Austria,1999.0,,184841.33547258,,,51618.951241955,,,61515.502237968,,133275.47372799,,,,
Austria,2000.0,,189161.75868262,,,51738.596972688,,,65100.987644847,,137428.91225819,,,,
Austria,2001.0,,190775.17664707,,,51559.27014777,,,64378.00329722,,139189.28068819,,,,
Austria,2002.0,,192133.23239326,,,51970.232790347,,,62533.114023665,,140138.51678259,,,,
Austria,2003.0,,195119.66700984,,,52499.633821981,,,64936.100472483,,142580.92308715,,,,
Austria,2004.0,,199251.19189384,,,53306.906369527,,,65546.895238295,,145890.06682675,,,,
Austria,2005.0,220617.723335299,203737.46408716,38277.3559870282,5685.73310141274,54511.924826916,,,65712.583894927,291369.470952779,149170.29304885,24480.4495869884,,,
Austria,2006.0,264848.7,208634.00377298,24790.3474323643,8712.07201623366,56293.512960031,,,66468.747869649,354350.703,152291.52218037,37602.3113537437,,,
Austria,2007.0,304802.7213,211099.8601113,15488.5645698051,978.562103098638,57080.461922708,,,69555.764709168,430113.7617,153972.40102063,42682.5910918667,,,
Austria,2008.0,267562.6752,214620.10453586,-3812.5833817679,-7458.95982697949,59174.751549768,,,70673.452734919,449940.7851,155429.47135064,31177.8368566169,,,
Austria,2009.0,285257.5278,217379.88277841,-1348.69588343939,6332.1658742497,60628.262875633,,,65600.767731917,458725.9362,156751.63505833,-6183.89984007685,,,
Austria,2010.0,268323.6582,218947.13,-1028.25482669563,9661.14544790759,60636.76,,,63903.98,442490.6472,158310.36,-757.292000865663,,,
Austria,2011.0,245983.329,221119.03741259,-9627.34984188982,-1788.85807790847,60679.273061421,,,68153.486014235,442878.6798,160439.76037276,11103.316404525,,,
Austria,2012.0,247544.5086,221990.62502549,-18909.2913946432,4400.01303248145,60710.471867898,,,68770.893025249,463398.3486,161277.13251208,-7782.61028034118,,,
Austria,2013.0,253091.0529,222318.54898869,-1218.22152663167,4122.12915343908,61170.688562917,,,69846.530450315,469204.2975,161149.69483048,3906.01996602128,,,
Austria,2014.0,239564.9979,223316.3630531,4911.41084461292,4732.6884594356,61684.458178465,,,69565.081963771,430631.5572,161639.07164784,-8075.78712369029,,,
Austria,2015.0,208662.4194,224642.55143912,-4784.7932172421,5644.33645387466,62226.957037972,,,71166.137864672,366540.2499,162427.77029457,-16189.0095053315,,,
"Bahrain, Kingdom of",1997.0,8696.89164729741,,1150.85577291314,0.0,,,,,,,0.0,,,
"Bahrain, Kingdom of",1998.0,8925.63812944276,,1206.68754755853,0.0,,,,,194.797802677094,,194.79814936596,,,
"Bahrain, Kingdom of",1999.0,10911.5655450039,,1985.93086196084,119.857891405369,,,,,307.596530305309,,112.798923380336,,,
"Bahrain, Kingdom of",2000.0,10878.9975663178,,-72.7814078684848,161.054409427669,,,,,590.0933437359,,282.497288026035,,,
"Bahrain, Kingdom of",2001.0,11937.9923564452,,1058.97651338084,389.029825385117,,,,,558.194641331444,,-31.8996937629399,,,
"Bahrain, Kingdom of",2002.0,15934.5200301296,,3996.52767368436,1143.48499387922,,,,,1107.42570587722,,549.231064545779,,,
"Bahrain, Kingdom of",2003.0,18541.2154593618,,2606.69542923224,489.011272390226,,,,,1557.37219122697,,449.94648534974,,,
"Bahrain, Kingdom of",2004.0,20434.7963794216,,1893.58092005973,1999.0345144377,,,,,1924.20528497926,,366.833093752301,,,
"Bahrain, Kingdom of",2005.0,25251.2880840682,,4816.49170464668,2219.70179028605,,,,,2544.98513087174,,620.779845892479,,,
"Bahrain, Kingdom of",2006.0,33577.9772486809,,8326.68916461261,2200.65697320915,,,,,4107.27217060715,,1562.28703973542,,,
"Bahrain, Kingdom of",2007.0,40099.9540145971,,6521.97676591622,3368.11548643146,,,,,5298.72590174633,,1191.45373113918,,,
"Bahrain, Kingdom of",2008.0,33021.0691454069,,-7079.94869897731,793.159336775362,,,,,8132.43470165242,,2833.70879990606,,,
"Bahrain, Kingdom of",2009.0,27953.6768202827,,-5068.45615491152,-1641.61720578787,,,,,10185.1847565425,,2052.75005489005,,,
"Bahrain, Kingdom of",2010.0,26155.1896701792,,-1798.48715010355,-253.12538039304,,,,,11236.7021276596,,1051.51737111711,,,
"Bahrain, Kingdom of",2011.0,13526.8500625936,,-423.670212765957,-4740.42553191489,,,,,9612.38493915668,,-562.765957446809,,,
