,Code,Year,Banking_crisis_dummy
349,ABW,2004.0,0.0
350,ABW,2005.0,0.0
351,ABW,2006.0,0.0
352,ABW,2007.0,0.0
353,ABW,2008.0,0.0
354,ABW,2009.0,0.0
355,ABW,2010.0,0.0
356,ABW,2011.0,0.0
357,ABW,2012.0,0.0
358,ABW,2013.0,0.0
359,ABW,2014.0,0.0
360,ABW,2015.0,0.0
361,AUS,1997.0,0.0
362,AUS,1998.0,0.0
363,AUS,1999.0,0.0
364,AUS,2000.0,0.0
365,AUS,2001.0,0.0
366,AUS,2002.0,0.0
367,AUS,2003.0,0.0
368,AUS,2004.0,0.0
369,AUS,2005.0,0.0
370,AUS,2006.0,0.0
371,AUS,2007.0,0.0
372,AUS,2008.0,0.0
373,AUS,2009.0,0.0
374,AUS,2010.0,0.0
375,AUS,2011.0,0.0
376,AUS,2012.0,0.0
377,AUS,2013.0,0.0
378,AUS,2014.0,0.0
379,AUS,2015.0,0.0
380,AUT,1997.0,0.0
381,AUT,1998.0,0.0
382,AUT,1999.0,0.0
383,AUT,2000.0,0.0
384,AUT,2001.0,0.0
385,AUT,2002.0,0.0
386,AUT,2003.0,0.0
387,AUT,2004.0,0.0
388,AUT,2005.0,0.0
389,AUT,2006.0,0.0
390,AUT,2007.0,0.0
391,AUT,2008.0,1.0
392,AUT,2009.0,1.0
393,AUT,2010.0,1.0
394,AUT,2011.0,1.0
395,AUT,2012.0,1.0
396,AUT,2013.0,0.0
397,AUT,2014.0,0.0
398,AUT,2015.0,0.0
399,AZE,1997.0,0.0
400,AZE,1998.0,0.0
401,AZE,1999.0,0.0
402,AZE,2000.0,0.0
403,AZE,2001.0,0.0
404,AZE,2002.0,0.0
405,AZE,2003.0,0.0
406,AZE,2004.0,0.0
407,AZE,2005.0,0.0
408,AZE,2006.0,0.0
409,AZE,2007.0,0.0
410,AZE,2008.0,0.0
411,AZE,2009.0,0.0
412,AZE,2010.0,0.0
413,AZE,2011.0,0.0
414,AZE,2012.0,0.0
415,AZE,2013.0,0.0
416,AZE,2014.0,0.0
417,AZE,2015.0,0.0
418,BHS,1997.0,0.0
419,BHS,1998.0,0.0
420,BHS,1999.0,0.0
421,BHS,2000.0,0.0
422,BHS,2001.0,0.0
423,BHS,2002.0,0.0
424,BHS,2003.0,0.0
425,BHS,2004.0,0.0
426,BHS,2005.0,0.0
427,BHS,2006.0,0.0
428,BHS,2007.0,0.0
429,BHS,2008.0,0.0
430,BHS,2009.0,0.0
431,BHS,2010.0,0.0
432,BHS,2011.0,0.0
433,BHS,2012.0,0.0
434,BHS,2013.0,0.0
435,BHS,2014.0,0.0
436,BHS,2015.0,0.0
437,BHR,1997.0,0.0
438,BHR,1998.0,0.0
439,BHR,1999.0,0.0
440,BHR,2000.0,0.0
441,BHR,2001.0,0.0
442,BHR,2002.0,0.0
443,BHR,2003.0,0.0
444,BHR,2004.0,0.0
445,BHR,2005.0,0.0
446,BHR,2006.0,0.0
447,BHR,2007.0,0.0
448,BHR,2008.0,0.0
449,BHR,2009.0,0.0
450,BHR,2010.0,0.0
451,BHR,2011.0,0.0
452,BHR,2012.0,0.0
453,BHR,2013.0,0.0
454,BHR,2014.0,0.0
455,BHR,2015.0,0.0
456,BGD,1997.0,0.0
457,BGD,1998.0,0.0
458,BGD,1999.0,0.0
459,BGD,2000.0,0.0
460,BGD,2001.0,0.0
461,BGD,2002.0,0.0
462,BGD,2003.0,0.0
463,BGD,2004.0,0.0
464,BGD,2005.0,0.0
465,BGD,2006.0,0.0
466,BGD,2007.0,0.0
467,BGD,2008.0,0.0
468,BGD,2009.0,0.0
469,BGD,2010.0,0.0
470,BGD,2011.0,0.0
471,BGD,2012.0,0.0
472,BGD,2013.0,0.0
473,BGD,2014.0,0.0
474,BGD,2015.0,0.0
475,BRB,1997.0,0.0
476,BRB,1998.0,0.0
477,BRB,1999.0,0.0
478,BRB,2000.0,0.0
479,BRB,2001.0,0.0
480,BRB,2002.0,0.0
481,BRB,2003.0,0.0
482,BRB,2004.0,0.0
483,BRB,2005.0,0.0
484,BRB,2006.0,0.0
485,BRB,2007.0,0.0
486,BRB,2008.0,0.0
487,BRB,2009.0,0.0
488,BRB,2010.0,0.0
489,BRB,2011.0,0.0
490,BRB,2012.0,0.0
491,BRB,2013.0,0.0
492,BRB,2014.0,0.0
493,BRB,2015.0,0.0
494,BLR,1997.0,0.0
495,BLR,1998.0,0.0
496,BLR,1999.0,0.0
497,BLR,2000.0,0.0
498,BLR,2001.0,0.0
499,BLR,2002.0,0.0
500,BLR,2003.0,0.0
501,BLR,2004.0,0.0
502,BLR,2005.0,0.0
503,BLR,2006.0,0.0
504,BLR,2007.0,0.0
505,BLR,2008.0,0.0
506,BLR,2009.0,0.0
507,BLR,2010.0,0.0
508,BLR,2011.0,0.0
509,BLR,2012.0,0.0
510,BLR,2013.0,0.0
511,BLR,2014.0,0.0
512,BLR,2015.0,0.0
513,BEL,1997.0,0.0
514,BEL,1998.0,0.0
515,BEL,1999.0,0.0
516,BEL,2000.0,0.0
517,BEL,2001.0,0.0
518,BEL,2002.0,0.0
519,BEL,2003.0,0.0
520,BEL,2004.0,0.0
521,BEL,2005.0,0.0
522,BEL,2006.0,0.0
523,BEL,2007.0,0.0
524,BEL,2008.0,1.0
525,BEL,2009.0,1.0
526,BEL,2010.0,1.0
527,BEL,2011.0,1.0
528,BEL,2012.0,1.0
529,BEL,2013.0,0.0
530,BEL,2014.0,0.0
531,BEL,2015.0,0.0
532,BLZ,1997.0,0.0
533,BLZ,1998.0,0.0
534,BLZ,1999.0,0.0
535,BLZ,2000.0,0.0
536,BLZ,2001.0,0.0
537,BLZ,2002.0,0.0
538,BLZ,2003.0,0.0
539,BLZ,2004.0,0.0
540,BLZ,2005.0,0.0
541,BLZ,2006.0,0.0
