Country,Year,Domestic credit to private sector (% of GDP),GDP growth (annual %),Gross capital formation (annual % growth),Gross fixed capital formation (annual % growth),GDP per capita (constant LCU),GDP (constant LCU),GDP per capita (constant 2015 US$),Gross fixed capital formation (constant LCU),GDP per capita (current LCU),General government final consumption expenditure (% of GDP),Trade (% of GDP),"Inflation, GDP deflator (annual %)",Country Code,Banking_crisis_dummy,Regulatory_Quality,Portfolio_investment_assets,Real_Expenditure_GDP,Portfolio_investment_debt,Portfolio_investment_equity,Real_Public_GDP,Real_Priv_GDP,Real_Priv_GDP_Machine,Real_Expenditure_GDP_Gross_Fixed,Portfolio_investment_liab,Real_Priv_GDP_HH,Invest_net_liab,Real_Priv_GDP_Building,Real_Priv_GDP_HH_NP,Real_Public_GDP_Gov,five_yr_CDS,hci,General government gross debt,Total investment
Belgium,2013.0,56.40806353,0.459242193,-3.78596619,-2.269665054,36025.1042,4.02019E+11,39970.3175,87548300000,35206.1718,24.31276726,157.850845,1.271258155,BEL,0.0,1.2837470769882202,438762.0441,282092.88515337,-25475.60159711,24598.4809426154,87749.511323762,,,83148.96387377,410944.218,194364.82536718,31296.3309286555,,,,63.22825,3.1114299297332764,105.186,22.127
Belgium,2014.0,57.89009668,1.578533143,5.411279127,5.356471799,36431.68199,4.08365E+11,40421.42079,92237800000,35953.36343,24.23389585,158.7832159,0.982645555,BEL,0.0,1.1528851985931396,415122.6438,284237.61085463,3849.42044820147,26958.7331418693,88811.114491165,,,87602.814674825,425884.4262,195437.73203985,41794.7861979145,,,,44.732,3.117666006088257,106.568,23.047
Belgium,2015.0,60.63286564,2.041459009,5.505221254,3.741524624,36960.63116,4.16701E+11,41008.29672,95688900000,36960.63116,23.61508745,154.1925465,1.330386128,BEL,0.0,1.283219575881958,362957.3382,287560.34751738,-4145.44266275111,11296.3546793729,89059.183909907,,,90880.495557547,396318.3723,198535.62129169,20269.0303407666,,,,40.17183333333333,3.1239144802093506,106.052,22.643
Chile,1997.0,..,7.391739268,9.079804644,12.98472213,5919918.358,8.76698E+13,8127.507313,1.57879E+13,2427326.865,11.43764382,54.09929818,3.330580503,CHL,0.0,1.4593397378921509,274.251722447074,58314450.1,245.785260393244,743.315784812748,13193782.0,,3869159.9,15787911.6,2060.76990866667,45597274.3,893.8,12553422.1,,,,2.7402708530426025,12.915,27.543
Chile,1998.0,..,4.180886627,3.454667043,3.537509102,6090333.22,9.13352E+13,8361.471358,1.63464E+13,2516654.53,11.80758644,53.83617852,0.778990207,CHL,0.0,1.3759194612503052,1306.06640914411,61071150.4,792.366114807374,2518.26905565304,13261536.1,,3920698.6,16346410.5,2261.78642111111,48112782.0,261.6,13160755.1,,,,2.7556447982788086,12.183,26.902
Chile,1999.0,..,-0.273631398,-15.52976582,-13.51680771,6001764.207,9.10852E+13,8239.874191,1.41369E+13,2534313.807,12.6522046,54.69560983,2.187767871,CHL,0.0,1.3903260827064514,3732.25872798455,60723474.9,2320.81041253159,3474.2658806266,13508334.5,,2897480.7,14136897.6,4159.39400047965,47620153.9,2054.1,12315212.7,,,,2.7711048126220703,13.34,20.85
Chile,2000.0,..,4.971621488,14.30204174,9.833347962,6228172.178,9.56136E+13,8550.71166,1.5527E+13,2749842.537,12.59092587,58.71192309,4.560043487,CHL,0.0,1.4047327041625977,2964.73799403244,62987923.9,54.8032461225445,-820.865273006569,13778926.1,,3473899.5,15527027.9,4486.45887545868,49561356.8,300.0,12963811.2,,,,2.786651849746704,13.191,21.941
Chile,2001.0,73.08169596,3.154034925,3.287844546,2.242628611,6353354.485,9.86293E+13,8722.575536,1.58752E+13,2925091.417,12.64309768,62.14476697,4.277146982,CHL,0.0,1.3616145253181458,2692.4653832388,64260035.1,-707.998758762767,2094.00394490245,14054290.3,,3619620.8,15875241.5,6531.53656928859,50564429.8,1742.4,13127293.6,,,,2.8052926063537598,14.395,22.208
Chile,2002.0,74.34609828,3.202799135,3.461612235,4.429381593,6485892.493,1.01788E+14,8904.538118,1.65784E+13,3085867.924,12.74859387,62.4838519,3.340660372,CHL,0.0,1.3184963464736938,2337.30634109374,65895797.5,43.7037014172218,3272.10219426085,14324912.9,,3646377.5,16578416.5,8222.8599287926,51915787.5,1318.835,13963740.8,,,225.0,2.8240578174591064,15.087,22.033
Chile,2003.0,75.83206214,4.723245269,9.633772937,8.548614441,6721431.99,1.06596E+14,9227.912338,1.79956E+13,3335454.022,12.17818844,65.69341959,4.300300884,CHL,0.0,1.3334413766860962,2628.21459313765,68143187.8,-154.478773655922,4853.45928573623,14438890.0,,3868669.2,17995641.4,10658.4247927098,53969578.8,1735.94156997,15325316.0,,,104.80375,2.8429489135742188,12.641,21.886
Chile,2004.0,76.74998578,6.674254168,6.743801155,13.26481913,7098930.468,1.1371E+14,9746.183277,2.03827E+13,3770251.676,11.43020951,69.88936005,7.024761707,CHL,0.0,1.367984175682068,4257.00643077746,73626217.8,1225.32615376384,3204.91403616022,15139493.4,,4790014.5,20382730.7,11570.5,58662078.9,1114.15653985513,16617021.5,,,41.21233333333334,2.8619658946990967,10.294,20.28
Chile,2005.0,77.63456541,5.837045719,23.79043157,23.08249458,7440212.833,1.20348E+14,10214.7328,2.50876E+13,4232866.981,10.95363055,72.06253424,7.120315352,CHL,0.0,1.312464714050293,4332.38682811756,78974840.6,202.654723836126,4024.53393930846,15847055.5,,7062173.7,25087573.4,11152.7618624355,63223959.0,-176.364443639022,18525833.5,,,21.64008333333333,2.881110429763794,6.997,21.973
Chile,2006.0,78.11332337,6.049990826,13.52265322,6.45251375,7813413.248,1.27629E+14,10727.10289,2.67064E+13,4994163.208,10.29711546,73.71163504,12.34989592,CHL,0.0,1.4238946437835691,12346.8161464325,84515528.8,7820.17973074162,2264.49835107789,16797088.1,,7409660.5,26706352.5,11770.870393937,67782563.8,970.258134999999,19888476.5,,,20.40083333333333,2.900383234024048,4.994,20.678
Chile,2007.0,84.07524732,5.168230985,9.678090415,10.57178873,8137045.006,1.34225E+14,11171.41974,2.95297E+13,5465688.916,10.54595528,76.97702471,5.088757067,CHL,0.0,1.4855865240097046,19322.0610174254,90032174.0,5802.94165110567,10150.2629546401,17925466.3,,8501114.2,29529691.7,10771.5563628027,72182154.0,-967.44066491683,21555321.0,,,19.75333333333333,2.9197845458984375,3.89,20.558
