iso,year,lrmp_rv,lfmp_rv,lrmp_hm,lfmp_hm
AUS,2001.0,19.301369957461624,12.959504644347637,14.868864683841831,12.90950889246335
AUS,2002.0,19.48949115194621,12.854752529223745,15.062255105117899,12.807359918246837
AUS,2003.0,20.080589136190746,12.97525473720013,15.206699629503017,12.927669927421926
AUT,1997.0,19.844664395470325,16.2337310788573,16.856959126763655,16.170514082825154
AUT,1998.0,20.104051531358746,16.266868650596056,17.113183066063687,16.201531084738175
AUT,1999.0,19.052008417558323,16.359844997982,16.9755255269186,16.291167479362628
AUT,2000.0,19.247378418263317,16.532618059418887,16.920798795916614,16.46159238667562
AUT,2001.0,19.21103672583232,16.534527185153742,16.91580220050497,16.459209495012356
AUT,2002.0,19.222123621580963,16.336373703338758,16.83603665595899,16.264649798174517
AUT,2003.0,19.604850472040447,16.694277092043357,17.04959772943832,16.635746399804084
